id	mission_time	comms	speaker
25297	4	Roger. Clock.	CDR
25298	13	Roger. We got a roll program.	CDR
25299	15	Roger. Roll.	CMP
25300	34	Roll's complete and the pitch is programed.	CDR
25301	44	One Bravo.	CDR
25302	62	Apollo 11, Houston. You're good at 1 minute.	CC
25303	66	Roger.	CDR
25304	114	Stand by for mode 1 Charlie.	CC
25305	117	MARK.	CC
25306	118	Mode 1 Charlie.	CC
25307	119	One Charlie.	CDR
25308	123	Apollo 11, this is Houston. You are GO for staging.	CC
25309	137	Inboard cut-off.	CDR
25310	139	We confirm inboard cut-off.	CC
25311	164	Staging.	CDR
25312	166	And ignition.	CDR
25313	175	11, Houston. Thrust is GO, all engines. You're looking good.	CC
25314	179	Roger. You're loud and clear, Houston.	CDR
25315	193	We've got skirt SEP.	CDR
25316	195	Roger. We confirm. Skirt SEP.	CC
25317	197	Tower's gone.	CDR
25318	199	Roger. Tower.	CC
25319	208	Houston, be advised the visual is GO today.	CDR
25320	212	This is Houston. Roger. Out.	CC
25321	216	Yes. They finally gave me a window to look out.	CDR
25322	224	11, Houston. Your guidance has converged; you're looking good.	CC
25323	232	Roger.	CDR
25324	241	11, Houston. YOU are GO at 4 minutes.	CC
25325	244	Roger.	CDR
25326	303	11, Houston. You are GO at 5 minutes.	CC
25327	306	Roger. It'll - Apollo 11. Go.	CDR
25328	321	Stand by the S-IVB to COI capability.	CC
25329	325	Okay.	CDR
25330	327	MARK.	CC
25331	328	S-IVB to COI capability.	CC
25332	330	Roger.	CDR
25333	335	You sure sound clear down there, Bruce. Sounds like you're sitting in your living room.	CDR
25334	339	Oh, thank you. You all are coming through beautifully, too.	CC
25335	360	We're doing 6 minutes. Starting the gimbal motors.	CDR
25336	363	Roger, 11. You're GO from the ground at 6 minutes.	CC
25337	380	Apollo 11, this is Houston. Level sense arm at 8 plus 17; outboard cut-off at 9 plus 11.	CC
25338	421	Apollo 11's GO at 7 minutes.	CDR
25339	424	11, this is Houston. Roger. You're GO from the ground at 7 minutes. Level sense arm at 8 plus 17; outboard cut-off at 9 plus 11.	CC
25340	429	Roger.	CDR
25341	462	Inboard cut-off.	CDR
25342	465	Roger. We confirmed.	CC
25343	502	AGS just got the mixture ratio shift.	CDR
25344	504	Roger. We got PU shift down here, too.	CC
25345	514	Well, it looks like a nice day for it. These thunderstorms down range is about all.	CDR
25346	532	11, this is Houston. You are GO for staging. Over.	CC
25347	536	Understand, GO for staging. And - -	CDR
25348	537	Stand by for mode IV capability.	CC
25349	539	Okay. Mode IV.	CDR
25350	540	MARK.	CC
25351	541	Mode IV capability.	CC
25352	555	Staging -	CDR
25353	556	- And ignition.	CDR
25354	559	Ignition confirmed; thrust is GO, 11.	CC
25355	601	Apollo 11, this is Houston. At 10 minutes, you are GO.	CC
25356	606	Roger. 11's GO.	CDR
25357	624	Apollo 11, this is Houston. Predicted cut-off at 11 plus 42. Over.	CC
25358	629	11 42. Roger.	CDR
25359	663	Apollo 11, this is Houston. You are GO at 11.	CC
25360	668	Good deal.	CDR
25361	702	Shutdown.	CDR
25362	705	SECO. We are showing 101.4 by 103.6.	CMP
25363	711	Roger. Shutdown. We copy 101.4 by 103.6.	CC
